estado,abstencao 2020,abstencao 2019,diferenca
Amazonas,61.27303949627934,22.477881842045566,38.795157654233776
Rondônia,58.2534268614454,19.78796169630643,38.465465165138966
Goiás,49.93591349057855,14.86587408917506,35.07003940140349
Ceará,49.46486738017683,20.884185154380187,28.58068222579664
Roraima,49.17156600748263,20.912052117263844,28.259513890218788
Tocantins,49.07175773535221,15.235711305798915,33.83604642955329
Santa Catarina,45.568778180205484,18.954189338691833,26.61458884151365
São Paulo,43.51585614001506,18.947925326883833,24.567930813131227
Mato Grosso do Sul,43.39527875439478,16.648966982042865,26.746311772351916
Mato Grosso,43.05922048708742,17.81222579701667,25.246994690070753
Pernambuco,42.23323669690452,16.502362161719326,25.730874535185194
Amapá,40.894660894660895,16.100071821881734,24.79458907277916
Paraná,40.1350513332874,19.74117191604679,20.393879417240612
Maranhão,39.128214238131186,16.03749120142259,23.090723036708596
Rio de Janeiro,38.45943874604991,15.363514366908746,23.095924379141167
Minas Gerais,38.30942287580134,15.713177200902933,22.596245674898405
Rio Grande do Sul,38.262636000550884,16.354374523450304,21.90826147710058
Alagoas,38.177685350872956,14.368690360945926,23.80899498992703
Pará,37.622665400443175,14.446900843363627,23.175764557079546
Sergipe,37.113124123800276,12.917042380522995,24.196081743277283
Espírito Santo,36.756403855754826,15.089324765333242,21.667079090421584
Acre,36.37593984962406,15.157480314960631,21.21845953466343
Bahia,33.65711669283098,15.183041386575155,18.474075306255827
Paraíba,33.01157701977095,12.492048586920305,20.51952843285064
Piauí,32.87713245160054,12.349074322511404,20.528058129089132
Distrito Federal,31.39861927895679,12.69678176947635,18.70183750948044
Rio Grande do Norte,31.054131054131055,12.202300274948689,18.851830779182364
